track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,decade
0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,Dynoro,84,1c79SozES9Eb3Lzf9KVaIa,In My Mind,2018-06-08,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-5,0.118,0.163,125.905,184560,2000
7C7yqFTM0ncyJ04GIKrxdV,Anything Could Happen,Ellie Goulding,57,4754Cgv1sdfwTpdVX83xAC,Halcyon,2012-01-01,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.702,0.781,0,-4.081,1,0.03,0.433,0,0.135,0.382,102.997,286322,2000
65mOk4n0tfrMysFXu12ufx,Don't Waste My Time,Kharfi,46,4n7kOauHRMuQ97McSDr0zm,Don't Waste My Time,2019-11-08,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.772,0.687,9,-6.348,0,0.211,0.0528,0,0.834,0.59,118.116,154286,2000
5llPdGZJjJFJv9aL6ZaiLY,Never Letting Go,Audien,63,7wufuX5VOkpdsAMxXIekGT,Never Letting Go,2018-11-09,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.534,0.765,1,-3.151,1,0.0338,0.0915,0.00107,0.225,0.117,127.978,172520,2000
2W9pBY75aWOV39S73mqqbn,Giulia,Prince Paris,55,7DgJKMKFWmgXxaLBeQQPq6,Giulia,2019-11-29,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.682,0.923,0,-3.273,1,0.0364,0.00395,3e-5,0.242,0.37,130.052,153231,2000
14nIFzHQf1OBWf6VHVR8DF,Wherever You Go,Jonas Blue,21,6x8gRx7RDvPckYBzPodW8w,Blue,2018-11-09,Cardio,37i9dQZF1DWSJHnPb1f0X3,pop,dance pop,0.711,0.724,7,-4.809,1,0.106,0.0835,0,0.0389,0.478,104.048,208947,2000
52Y5nYBQgqawttJxxtUv1e,Insomnia - King Arthur Remix,Daya,63,50HIbfbrQemacUUAD9UfNX,Insomnia (King Arthur Remix),2019-05-17,Cardio,37i9dQZF1DWSJHnPb1f0X3,pop,dance pop,0.733,0.718,4,-7.149,0,0.0376,0.0107,0.0102,0.33,0.206,122.993,176098,2000
1yAPglN5AGf7UoLK062ZYq,Wish You Well,Sigala,75,1yZZdubJ2rovC4QIBP8riQ,Wish You Well,2019-05-24,Cardio,37i9dQZF1DWSJHnPb1f0X3,pop,dance pop,0.669,0.895,5,-3.787,0,0.0575,0.128,0,0.297,0.576,124.964,205653,2000
7nbVbGjifh0m2fhPYqcI1R,Sweet but Psycho - Morgan Page Dance Remix,Ava Max,65,6pZkOJtEaENfW9IURljzSh,Sweet but Psycho (Remixes),2018-08-16,Cardio,37i9dQZF1DWSJHnPb1f0X3,pop,dance pop,0.645,0.795,1,-5.439,1,0.0343,0.0334,1.05e-5,0.089,0.424,127.959,226875,2000
4AMY0oGSt7vZwgxDnHCJBr,True Colors (feat. Maya Avedis),XO Cupid,73,4oWDDk4LhzvUe3FIwUqoyf,True Colors (feat. Maya Avedis),2018-09-21,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.636,0.63,0,-6.396,1,0.0346,0.0796,0,0.13,0.454,104.845,184020,2000
3cJEgWbsBmGkvXz906tgut,No One - Jonas Blue Remix,Jess Glynne,51,7xEh3nCOKbIlVwu3v7IDSM,No One (Jonas Blue Remix),2019-03-15,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.605,0.854,11,-4.128,0,0.0488,0.0673,0,0.54,0.165,124.024,214641,2000
6SRWhUJcD2YKahCwHavz3X,Darkside,Alan Walker,76,3nzuGtN3nXARvvecier4K0,Different World,2018-12-14,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.43,0.606,4,-5.115,0,0.0431,0.131,0,0.173,0.123,169.988,211680,2000
1uuUnsWpJwqBh5GRQ8uxla,Happier - Tiësto’s AFTR:HRS Remix,Ed Sheeran,53,5GpwroXObdnETiIpVb1l23,Happier (Tiësto’s AFTR:HRS Remix),2018-06-01,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.684,0.823,0,-4.881,1,0.0296,0.00576,7.42e-6,0.201,0.384,117.993,216000,2000
3R8lr1Y1kPgXEbnXkcMMlT,Call On Me - Ryan Riback Remix,Starley,58,3PznGvjYhmK2jeTA1pdxkK,Call On Me,2016-10-07,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.691,0.821,0,-4.527,1,0.0401,0.136,1.15e-4,0.092,0.759,104.961,222000,2000
7dOeiXeTSfA1ixaYmQcWu7,Rich Love (with Seeb),OneRepublic,69,0fLgNovzjpxE13hCIWa0sL,Rich Love,2017-07-14,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.401,0.872,1,-3.641,0,0.314,0.167,0,0.362,0.472,104.592,201257,2000
1RxlBxlaJpSEVnLk4Gtvym,Through To You,Lyente,2,1Zyv63VwNJhwo11H18lFjH,Through To You,2018-04-17,Pop Warmup 130 BPM,37i9dQZF1DX3PIAZMcbo2T,pop,dance pop,0.69,0.689,2,-6.522,1,0.174,0.0655,1.45e-6,0.136,0.307,131.945,129238,2000
6fIgsZFtGXiIvxb2Y6oCc7,Apple Juice (feat. Carla Monroe) - MOTi Remix,SLATIN,63,3CMNZWxeWDe6lSnZq5hnoD,Apple Juice (feat. Carla Monroe) [MOTi Remix],2018-11-30,Pop Warmup 130 BPM,37i9dQZF1DX3PIAZMcbo2T,pop,dance pop,0.671,0.91,0,-3.621,1,0.1,0.00196,0.0316,0.171,0.413,128.036,138750,2000
45NYp6HaMbhHNtn8sTnztn,Callin' - Extended Mix,Lush & Simon,2,2qYpzBWHF5ueyOzPGejsas,Callin',2018-06-01,Pop Warmup 130 BPM,37i9dQZF1DX3PIAZMcbo2T,pop,dance pop,0.627,0.956,8,-4.498,0,0.0719,0.0256,0.588,0.125,0.392,127.984,217500,2000
4b2tcjrG1qUkSdsqEFP2dB,Sun Is Shining,Axwell /\ Ingrosso,71,6Ei5WWek37m1x9AjpSXTcJ,More Than You Know,2017-07-28,Pop Warmup 130 BPM,37i9dQZF1DX3PIAZMcbo2T,pop,dance pop,0.467,0.757,2,-3.01,1,0.0517,0.0866,0,0.0742,0.383,131.993,254653,2000
0KsB4TwgATg88aXCMBoO3Y,Breathe,Jax Jones,65,3NTHQYWOxCJ05u8fc80RNt,Breathe,2017-12-01,Pop Warmup 130 BPM,37i9dQZF1DX3PIAZMcbo2T,pop,dance pop,0.722,0.744,11,-5.52,0,0.0363,0.0234,1.57e-4,0.143,0.686,125.985,207630,2000
0j6HZwmFLvxSoYUrg29IgP,LOVE + PARTY,CREAM,37,20y3NUwao6fWGdNNylbOhu,LOVE + PARTY,2019-12-25,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.789,0.77,5,-5.531,0,0.0553,0.0403,0,0.0988,0.791,102,193553,2000
2WSYYbEdxtGGo0VVP4jNjb,Not Enough,Rei Yasuda,29,75UhEgDZsJoB9yUiemiOY5,Asymmetry,2019-11-27,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.549,0.847,5,-4.966,1,0.0483,0.0587,0,0.102,0.149,124.01,292587,2000
7Bh4dzYrbYtXbbuvK8M8yE,New Shoes - feat.Shun Murakami,phai,21,7Mrelyrb3nTLEmxw3exXX9,New Shoes (feat.Shun Murakami),2020-01-15,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.716,0.463,9,-7.563,1,0.0337,0.693,2.96e-4,0.121,0.342,92.023,232832,2000
4vid1h1wAzoZoEKJVXoUgB,Shine,DJ PIGER,35,31KdOeRhAbAPMizIrujMdy,Shine,2019-10-16,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.779,0.721,8,-8.409,0,0.0487,0.00618,0.00696,0.239,0.84,121.948,207213,2000
2AIWoHr9DF6y4KALCBKWQS,IDOL,BTS,75,2lATw9ZAVp7ILQcOKPCPqp,Love Yourself 結 'Answer',2018-08-24,K-Party Dance Mix,37i9dQZF1DX4RDXswvP6Mj,pop,dance pop,0.734,0.855,9,-3.211,1,0.118,0.00481,0,0.123,0.422,126.035,222732,2000
5SE57ljOIUJ1ybL9U6CuBH,DNA,BTS,71,2FTS6a6DLXMNp8flyA0HGO,Love Yourself 承 'Her',2017-09-18,K-Party Dance Mix,37i9dQZF1DX4RDXswvP6Mj,pop,dance pop,0.598,0.775,1,-4.035,0,0.0545,0.022,0,0.0677,0.687,129.819,223123,2000
5gA9Xn8oPts2aewPgxVkPD,Heroine,SUNMI,62,4lWDPUQmrZPyO9T9pWfZc2,Heroine,2018-01-18,K-Party Dance Mix,37i9dQZF1DX4RDXswvP6Mj,pop,dance pop,0.673,0.782,7,-3.911,1,0.0404,0.0582,1.4e-6,0.391,0.609,121.991,195000,2000
1IzuuPDzqh3dfKxilHbGYU,8282(Party),twlv,40,0CWYqBGKChAJge2xUYICpY,8282(Party),2019-08-04,K-Party Dance Mix,37i9dQZF1DX4RDXswvP6Mj,pop,dance pop,0.832,0.637,1,-4.994,0,0.0568,0.0334,0,0.0653,0.722,103.036,188893,2000
6u8epWzzk3CsJ05sqExF6T,I Could Get Used To This,Becky Hill,64,7zprQiHCzlyXnqKbkfCUTs,I Could Get Used To This,2019-03-29,Dance Pop,0B2HdP15IucgE0vk3sluJR,pop,dance pop,0.621,0.653,7,-4.573,1,0.0523,0.0152,0,0.427,0.345,117.129,193856,2000
5hw9RzFpyZqkW7ADN2NKeO,Don't Give Up On Me,Armin van Buuren,49,17zVhrzfIc7Fb5FspAahe0,Don't Give Up On Me,2019-03-29,Dance Pop,0B2HdP15IucgE0vk3sluJR,pop,dance pop,0.717,0.702,0,-5.78,0,0.142,0.0467,0,0.268,0.63,117.957,185212,2000
5GjnIpUlLGEIYk052ISOw9,This Is What It Feels Like,Armin van Buuren,65,5ZsK5SUsZilbAJ4B0vRVxF,Intense,2013-05-03,Dance Pop,0B2HdP15IucgE0vk3sluJR,pop,dance pop,0.552,0.831,8,-5.217,1,0.0298,0.0391,2.93e-6,0.0632,0.144,129.889,204360,2000
3P7qStX3ECFOLfjrXuLzbc,Something New,Axwell /\ Ingrosso,4,3lhqigNRLd5xdnFDF6gJg3,Something New,2015-01-20,Dance Pop,0B2HdP15IucgE0vk3sluJR,pop,dance pop,0.568,0.86,11,-3.846,1,0.0342,0.0189,4.84e-4,0.119,0.394,129.924,247160,2000
6Fvhy9aaBvsLBzC7vDEhIr,All That She Wants,Campsite Dream,50,0qq08x58qBEUp5IinYYJm3,All That She Wants,2020-01-10,Dance Pop Tunes,4SdfG4cPG3skmTiQLozZGh,pop,dance pop,0.392,0.652,1,-4.341,0,0.163,0.42,4.77e-4,0.0929,0.55,201.948,139405,2000
6TaqooOXAEcijL6G1AWS2K,All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,74,5cOhR878H8hC3UsxYq5Xyv,All My Friends (feat. Tinashe & Chance the Rapper),2015-10-21,Dance Pop Tunes,4SdfG4cPG3skmTiQLozZGh,pop,dance pop,0.689,0.521,0,-5.845,1,0.132,0.119,8.41e-5,0.108,0.178,95.055,229747,2000
6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),Sam Smith,87,1V9oE8bVilClrk5naqyyvL,Dancing With A Stranger (with Normani),2019-01-11,Dance Pop Tunes,4SdfG4cPG3skmTiQLozZGh,pop,dance pop,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-6,0.222,0.347,102.998,171030,2000
13qqdlSeF8FcxsRyapDMZ0,Changes,Faul & Wad Ad,39,2TQZYFed2I2ajTSzwZV7ag,Changes,2013-11-15,Dance Pop Tunes,4SdfG4cPG3skmTiQLozZGh,pop,dance pop,0.822,0.704,3,-8.242,0,0.0374,0.00864,0.627,0.0633,0.255,125.999,345173,2000
79T9m6YkRCgP0955CE4UCd,No Diggity,Campsite Dream,55,42vpQq9br7zBjdcX1cGiIA,No Diggity,2016-09-23,Dance Pop Tunes,4SdfG4cPG3skmTiQLozZGh,pop,dance pop,0.711,0.714,7,-4.714,0,0.0374,0.183,0.0287,0.122,0.389,104.912,188849,2000
4M8x1TR36VMQMFMbGCdoyA,Back & Forth,MK,72,2WqGsuxmIREkcArxbp5IK0,Back & Forth,2018-09-07,Dance Pop Tunes,4SdfG4cPG3skmTiQLozZGh,pop,dance pop,0.684,0.816,10,-5.211,0,0.0322,0.0181,0,0.0222,0.702,121.993,196215,2000
4UuGBDjt8gLXsANZqZxMBz,Love You Better,John De Sohn,67,6eYxEOCIiUy763yQwd9Glm,Love You Better,2019-11-15,Pop / Dance,6mXh8CUBMBsBUu88a4eAQV,pop,dance pop,0.733,0.786,11,-7.494,1,0.0422,0.0931,0.0013,0.1,0.786,102.999,170893,2000
5IxHVYf5BRnwcAUtgI4Hvy,Fantasy,Laureano,34,59Lnh9eXaE9yy1k0s1PIPM,Fantasy,2019-11-08,Pop / Dance,6mXh8CUBMBsBUu88a4eAQV,pop,dance pop,0.773,0.709,11,-6.51,0,0.0801,0.0314,9.43e-5,0.084,0.594,119.969,203000,2000
6U6gLFgQVsZKybsknbxtdZ,Amsterdam,Frans,44,5EmSx1hh3GY5A559CM5kz3,Amsterdam,2019-09-20,Pop / Dance,6mXh8CUBMBsBUu88a4eAQV,pop,dance pop,0.845,0.673,4,-5.513,0,0.064,0.0792,1.47e-5,0.0878,0.914,109.993,177761,2000
5VlYmXVnGycwv2eaDpyS5Q,what happened,jayover,34,106XQVyuqKuW1mFE2ER7bZ,what happened,2019-10-25,Pop / Dance,6mXh8CUBMBsBUu88a4eAQV,pop,dance pop,0.713,0.652,4,-7.447,1,0.0583,0.175,0.0151,0.095,0.386,125.994,176310,2000
48X9IcdoKdIlNIzHLtZ8D5,Perspective,AMAANDA,32,6WDwj78J1txGtqJ7rWepJv,Perspective,2019-09-20,Pop / Dance,6mXh8CUBMBsBUu88a4eAQV,pop,dance pop,0.782,0.598,7,-7.955,1,0.224,0.592,0,0.242,0.383,114.932,148147,2000
33WaAIUnrgkyeosXb0iXNu,Closer,Haze & Mellow,38,2v7iFhygXOzHiPFXpF5Oat,Closer,2019-08-02,Pop / Dance,6mXh8CUBMBsBUu88a4eAQV,pop,dance pop,0.738,0.774,1,-6.42,1,0.0345,0.131,0,0.0931,0.207,99.996,162117,2000
43JztBwps5nHk69OqYOv9D,Wannabe,Jonasu,51,3f2VKL7FYE0C7qApp6veOH,Wannabe,2019-07-05,Pop / Dance,6mXh8CUBMBsBUu88a4eAQV,pop,dance pop,0.766,0.76,10,-3.812,1,0.0875,0.251,1.67e-5,0.213,0.497,110.05,187636,2000
5fmXWEFh8vMXzKTHN9ezKV,En Tus Planes,David Bisbal,66,63cRlzjRihSdheA6lKonRy,En Tus Planes,2020-01-02,Todo Éxitos,2ji5tRQVfnhaX1w9FhmSzk,pop,dance pop,0.813,0.78,11,-3.768,0,0.162,0.284,0,0.0351,0.79,92.014,172147,2000
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,94,5658aM19fA3JVwTK6eQX70,Divinely Uninspired To A Hellish Extent,2019-05-17,Todo Éxitos,2ji5tRQVfnhaX1w9FhmSzk,pop,dance pop,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,2000
6Nqi1fWKYXrVXmF3RtQbSf,Me Quedo,Aitana,70,0UMkp3B0Dqf3t0HkLmoX0j,Spoiler,2019-06-07,Todo Éxitos,2ji5tRQVfnhaX1w9FhmSzk,pop,dance pop,0.824,0.714,11,-2.788,1,0.051,0.432,0,0.442,0.77,97.035,174433,2000
4AyvLHET4Zl794yQiQvxmp,Push It On Me,Damien,56,7eMw66z2V2W4LelK493lXS,Push It On Me,2019-11-21,Todo Éxitos,2ji5tRQVfnhaX1w9FhmSzk,pop,dance pop,0.626,0.568,5,-10.307,0,0.216,0.629,5.8e-5,0.112,0.581,179.821,164333,2000
3dWpRjCmaHbroNahuSeX11,Rebota - Remix,Guaynaa,78,4HoYhLOpFgJECemzKIEhvM,Rebota (Remix),2019-07-12,Todo Éxitos,2ji5tRQVfnhaX1w9FhmSzk,pop,dance pop,0.885,0.857,0,-2.279,0,0.204,0.205,0,0.671,0.818,90.025,262000,2000
2ZCTP54O2dMSbVrdsg60to,Barbie Girl,Aqua,5,2vb252Haz9iX4iOd7vP8kX,Greatest Hits,2009-01-01,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.764,0.948,1,-4.355,0,0.0402,0.00929,0.0773,0.416,0.911,129.967,195040,2000
3MjUtNVVq3C8Fn0MP3zhXa,...Baby One More Time,Britney Spears,75,3WNxdumkSMGMJRhEgK80qx,...Baby One More Time (Digital Deluxe Version),1999-01-12,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.759,0.699,0,-5.745,0,0.0307,0.202,1.31e-4,0.443,0.907,92.96,211067,1900
4RybvT8lyLLjkWXqmAuZnX,Happy People (feat. Marky Mark),Prince Ital Joe,50,3Vvt7b5z4GVIaK14CfKF88,Life In The Streets,1994-04-29,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.793,0.588,9,-8.346,0,0.0435,0.28,0,0.317,0.38,130.039,238200,1900
5a6WvCvpzP3flz3ZG0aAMp,Rock My Heart - Radio Mix,Haddaway,44,1LAx7yCVbGwskdnGDof8SC,The Album,1993-09-13,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.592,0.931,5,-7.186,0,0.0371,0.00551,0.0301,0.205,0.612,130.028,250933,1900
0kwENjv9F98MZLPEN3gCQT,Gonna Make You Sweat (Everybody Dance Now),C & C Music Factory,2,3DFnN7SaYffZ6BrSmIhtkR,100 Hits of the '90s,2010-02-26,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.561,0.789,6,-9.134,1,0.0952,0.00217,0.446,0.194,0.796,112.815,243800,2000
40WzXFabdkT1KCgRYwoz8X,Generation Of Love,Masterboy,1,0y01fluOw7z4BxN06InlRr,Generation Of Love,1995-01-01,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.655,0.884,6,-6.515,0,0.0602,0.0102,0,0.259,0.772,140.008,219240,1900
7dIa8yS7HIPKkBvOmERSZ7,U Got 2 Let The Music - Brescia Edit,Cappella,46,5WnAHnV4xlvxZXEDOtISxX,Best Of Cappella,2010-06-18,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.669,0.974,9,-4.33,0,0.0369,0.0911,0.174,0.174,0.682,135.046,218907,2000
3cOnQmSQuEUie603kZp82h,Somebody Dance with Me,DJ Bobo,43,42iXHnNCzEOJ3Ik0J5OEJz,Best Of,2014-05-02,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.682,0.988,6,-7.11,0,0.0388,0.101,0.00105,0.14,0.649,124.051,212893,2000
3vV2Gu4JlRaeHfJxg2Z1dk,My Oh My,Aqua,43,7uYn7ZSrXOVlmITyocZs9F,Aquarium,1997-01-01,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.712,0.931,2,-7.742,0,0.0337,0.107,0.00132,0.0819,0.961,132.993,204720,1900
65RTyZesurf9xxf7FZVL1u,Not Today - Remix,Hillsong UNITED,43,3wNAcHO8vZNoUyhaVopRb3,Not Today,2018-09-28,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,pop,dance pop,0.617,0.833,6,-4.476,0,0.0449,0.0919,0,0.385,0.43,109.995,219187,2000
3skkHSk5KA7akip3Ey6Xjx,Every Little Thing,Hillsong Young & Free,52,3GBUiNPCjCorEs0W9lf41C,III,2018-06-29,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,pop,dance pop,0.476,0.684,5,-6.256,1,0.0314,0.049,0,0.158,0.448,154.85,202893,2000
6ZkeEVV8OVRuhZfzB28DlD,Heaven On Earth - Radio Single,Planetshakers,38,2qKW3iRJfRCRQvK1fuq5h6,Heaven On Earth,2018-10-12,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,pop,dance pop,0.557,0.784,0,-6.831,1,0.0464,2.41e-4,2.62e-5,0.159,0.641,122.925,225857,2000
3NPvE7siGFFFB1lwTBwF3F,Bring You Home,The Partysquad,32,3EfdOwwQP8sw0cWt2VmHxu,Bring You Home,2018-11-16,Pop Dance Hits,7eERKCkgNKCCx5GYdeMIZf,pop,dance pop,0.673,0.767,0,-3.687,1,0.0436,0.0558,0,0.0932,0.727,100.064,187200,2000
5wPlp34kFeUY2zgcIOxyks,Black & Blue,VIVID,31,1Iojo6tKUt0BH9c30WA8c7,Black & Blue,2018-11-09,Pop Dance Hits,7eERKCkgNKCCx5GYdeMIZf,pop,dance pop,0.339,0.775,8,-5.687,0,0.0709,0.069,0,0.141,0.261,165.474,212364,2000
6oZQUfZVGOwKmb9Zsjd0vx,Unforgettable,Aerreo,44,1N6bSsrepPdy2ZXbQ3iv3H,Unforgettable,2018-11-02,Pop Dance Hits,7eERKCkgNKCCx5GYdeMIZf,pop,dance pop,0.627,0.722,0,-5.898,1,0.0248,0.0931,3.74e-5,0.225,0.261,93.02,221935,2000
7q8O26YXHhmaYRuHoFP8WA,Madness,Matt Strike,20,2rdWy8tZFf40xTMGZfk8GC,Madness,2018-10-26,Pop Dance Hits,7eERKCkgNKCCx5GYdeMIZf,pop,dance pop,0.682,0.609,7,-5.458,0,0.0435,0.0426,2.52e-5,0.0994,0.283,95.052,202105,2000
3aY4mGFsRJJmZeqkagYFCB,Morninglight - Main Circus Deep Mix,Team Deep,13,3Ufv5Lc2VMt49bQm6pt2sr,Morninglight (Main Circus Remixes),2019-06-28,Pop Dance Hits,7eERKCkgNKCCx5GYdeMIZf,pop,dance pop,0.638,0.949,10,-5.125,0,0.0765,0.073,0.392,0.278,0.552,124.938,251590,2000
1RbgdZhU9FOKFbDZZKOMrv,Shadows (feat. Veronica),Adam K,44,2qrOPZcexgBsPApRmUSY66,Shadows (feat. Veronica),2019-05-10,Pop Dance Hits,7eERKCkgNKCCx5GYdeMIZf,pop,dance pop,0.728,0.675,6,-6.062,0,0.0435,0.107,0.0037200000000000002,0.261,0.476,117.969,182034,2000
1zUz9l0UbmB6Y3ie7AZTaG,In This Place - Kizuna Version,Thelma Aoyama,28,048JsTsIKUFtYHpsGfR3vj,Ralph Breaks the Internet (Original Motion Picture Soundtrack),2018-12-19,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.617,0.867,1,-5.809,0,0.0354,0.00204,3.6e-5,0.331,0.785,112.964,180600,2000
1rlz0e2Co8c9ez198e1y5U,Stereo,LOZAREENA,31,7oIf30QBXrWkIkRLrOi2Cl,Stereo,2018-11-09,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.663,0.686,7,-2.72,1,0.0342,0.233,0,0.0911,0.593,160.002,238547,2000
0x06Qi9pXK8h1SYdvG1iuY,MI NUH FRAID (Extravaganza Riddim),ramhead,22,54WEEaEHxfm7CHoSFlaUcV,MI NUH FRAID (Extravaganza Riddim),2019-06-05,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.818,0.817,8,-3.491,0,0.182,0.0952,0,0.06,0.81,106.94,159214,2000
