track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
6jreFSOTUAViWjKyzOC4Kg,REMEDY,Alesso,77,0LOJHhz9ybWLVMLucHYtCe,REMEDY,2018-08-31,Cardio,37i9dQZF1DWSJHnPb1f0X3,pop,dance pop,0.601,0.775,0,-4.612,1,0.0473,0.269,0,0.0883,0.483,119.964,190295
7lPo7aUbqNz5qmcan9Oj3F,Love No More,Loud Luxury,54,577DyqNxualYzG6mnJRXOb,Love No More,2018-08-31,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.767,0.674,0,-6.246,1,0.0529,0.0216,5.88e-5,0.257,0.221,121.011,168636
76WNl0hDHHxTUhfLrEIBSm,Lonely Together (feat. Rita Ora),Avicii,6,6Vn8F3hERVHYYz5RfKmsAN,Phoenix (Deluxe Edition),2018-11-23,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.638,0.656,5,-5.299,1,0.0611,0.143,5.76e-5,0.094,0.271,103.081,181960
0KsB4TwgATg88aXCMBoO3Y,Breathe,Jax Jones,65,3NTHQYWOxCJ05u8fc80RNt,Breathe,2017-12-01,Pop Warmup 130 BPM,37i9dQZF1DX3PIAZMcbo2T,pop,dance pop,0.722,0.744,11,-5.52,0,0.0363,0.0234,1.57e-4,0.143,0.686,125.985,207630
56FtGMGdOoONvc0XpP4Bm6,Night Ship,Yo-Sea,30,7i1rpVKpqYqBJ2OJtv8pHT,Night Ship,2020-01-15,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.847,0.512,10,-9.071,1,0.053,0.152,4.78e-4,0.0746,0.765,111.989,162827
1HDrG1CAVROV1BclXs400N,space shuttle,空音,36,6p4yL3eOsPilQNytFoKIIA,space shuttle,2019-11-20,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.711,0.934,11,-0.7,1,0.0588,0.0445,8.83e-6,0.0537,0.866,124.988,224333
74P2i9IIx0nkki1GVQqx3R,Amazing!,Sakurako Ohara,32,3d6xkK0efdhbbQ5Welmpdr,Amazing!,2020-01-15,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.649,0.856,8,-2.745,1,0.181,0.127,0,0.0702,0.892,171.884,199440
0lHYQoSwhIKqUjUsbQygyl,Simple Things,HarukiD,21,5RCmomigCb0VuGdltjtU1i,Simple Things,2020-01-12,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.695,0.646,9,-7.103,0,0.032,0.0345,2.94e-4,0.0967,0.229,95.007,157288
7EdnZLYzleCTG6eVJnZbR8,Y.E.S,KEITA,21,6wi6w72EhFXg2UwZtcmjou,Y.E.S,2019-11-20,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.599,0.795,7,-5.072,0,0.15,0.223,0,0.125,0.479,150.036,146500
0qnp1W6FnL9qoadgaQdsT8,PARADE,Miliyah,37,566EAKqr8SyzdbZaOpIzdY,PARADE,2019-10-26,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.679,0.637,8,-5.683,1,0.0427,0.0821,1.04e-6,0.158,0.228,105.026,244187
7MsgiyWoerebFF0zaahmCr,B.S.G.S.,sooogood!,30,0k7LlIHVWjsVCMZwi7Wqm2,B.S.G.S.,2019-11-20,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.625,0.905,6,-6.323,0,0.135,0.553,0.0298,0.247,0.597,140.026,141473
6k67RdkVjTZj79c1cRz7IQ,WONDERLAND,ATEEZ,72,4HGhzqQEY1X6WWZw6MhjlO,TREASURE EP.FIN: All To Action,2019-10-08,K-Party Dance Mix,37i9dQZF1DX4RDXswvP6Mj,pop,dance pop,0.572,0.964,4,-1.949,0,0.123,0.0503,0,0.372,0.519,129.979,199013
00emjlCv9azBN0fzuuyLqy,Dumb Litty,KARD,65,7h5X3xhh3peIK9Y0qI5hbK,KARD 2nd Digital Single ‘Dumb Litty’,2019-09-22,K-Party Dance Mix,37i9dQZF1DX4RDXswvP6Mj,pop,dance pop,0.76,0.887,9,-1.993,1,0.0409,0.037,0,0.138,0.24,130.018,193160
2naEVOadudtXHwtZNfjMDM,Forever Young,BLACKPINK,65,1HwIUaaEuRsxsIyssqtGLH,SQUARE UP,2018-06-15,K-Party Dance Mix,37i9dQZF1DX4RDXswvP6Mj,pop,dance pop,0.6,0.96,4,-1.807,1,0.095,0.0426,0,0.0882,0.503,109.863,237077
2VDTgXwf3F6kcpX4HI0BKy,"Heaven Can Wait (feat. Sia, Diplo, and Labrinth)",Sia,62,0ujHQ5WCLuKJQXOqXpGtpf,"LABRINTH, SIA & DIPLO PRESENT... LSD",2019-04-12,Dance Pop Tunes,4SdfG4cPG3skmTiQLozZGh,pop,dance pop,0.585,0.525,7,-5.915,0,0.0817,0.034,2.6e-5,0.139,0.533,167.811,195747
5IxHVYf5BRnwcAUtgI4Hvy,Fantasy,Laureano,34,59Lnh9eXaE9yy1k0s1PIPM,Fantasy,2019-11-08,Pop / Dance,6mXh8CUBMBsBUu88a4eAQV,pop,dance pop,0.773,0.709,11,-6.51,0,0.0801,0.0314,9.43e-5,0.084,0.594,119.969,203000
12gG0QAqYFNZNVi5YAruLB,Summertime Love,Captain Cuts,55,78mJr1P0Iaf3A5vXt7saFt,Summertime Love,2019-08-23,Pop / Dance,6mXh8CUBMBsBUu88a4eAQV,pop,dance pop,0.713,0.85,6,-4.744,1,0.0582,0.14,1.02e-5,0.174,0.672,121.981,143670
4hPpVbbakQNv8YTHYaOJP4,One Thing Right,Marshmello,85,4QAC6FquY8D0RXom13iE5J,One Thing Right,2019-06-21,Pop / Dance,6mXh8CUBMBsBUu88a4eAQV,pop,dance pop,0.659,0.623,4,-2.253,1,0.0451,0.0667,0,0.582,0.439,88.042,181824
7o9SNYNMZTLtWo5W0IH6PI,Hold On,Foxa,45,5IlCD8sInMKVGdpHRfFk3T,Hold On,2019-08-09,Pop / Dance,6mXh8CUBMBsBUu88a4eAQV,pop,dance pop,0.747,0.866,7,-4.409,1,0.0373,0.208,0.0627,0.0704,0.327,122.999,143415
5fmXWEFh8vMXzKTHN9ezKV,En Tus Planes,David Bisbal,66,63cRlzjRihSdheA6lKonRy,En Tus Planes,2020-01-02,Todo Éxitos,2ji5tRQVfnhaX1w9FhmSzk,pop,dance pop,0.813,0.78,11,-3.768,0,0.162,0.284,0,0.0351,0.79,92.014,172147
5QXQy0f2q8wJNpPwJtjifx,"Loco Contigo (with J. Balvin & Ozuna feat. Nicky Jam, Natti Natasha, Darell & Sech) - REMIX",DJ Snake,80,3CrpfLi8E2VWFf7ZLjgpNt,"Loco Contigo (with J. Balvin & Ozuna feat. Nicky Jam, Natti Natasha, Darell & Sech) [REMIX]",2019-12-27,Todo Éxitos,2ji5tRQVfnhaX1w9FhmSzk,pop,dance pop,0.789,0.694,6,-5.781,0,0.0729,0.0982,0,0.0962,0.549,96.035,341875
1CPAiHBpTTtHPAlOcVWIwT,LUNA,Lola Indigo,62,1gmighJ1w3l8qJL8hd7LsA,LUNA,2019-12-05,Todo Éxitos,2ji5tRQVfnhaX1w9FhmSzk,pop,dance pop,0.735,0.744,0,-3.757,1,0.141,0.0203,2.08e-5,0.0941,0.622,94.075,209362
5o3pP3SWueoHRCytmwaL52,caronte,Alba Reche,50,5m9csUiQbZ0OSSnVgbeCrQ,caronte,2019-10-17,Todo Éxitos,2ji5tRQVfnhaX1w9FhmSzk,pop,dance pop,0.553,0.209,7,-10.995,0,0.0319,0.814,0,0.113,0.248,119.592,189758
1HfMVBKM75vxSfsQ5VefZ5,Lose You To Love Me,Selena Gomez,93,3tBkjgxDqAwss76O1YHsSY,Lose You To Love Me,2019-10-23,Todo Éxitos,2ji5tRQVfnhaX1w9FhmSzk,pop,dance pop,0.505,0.34,4,-9.005,1,0.0438,0.576,0,0.21,0.0916,101.993,206459
7znm8mn8oac6FKfmLuvPZa,The Riddle (Original Mix),Gigi D'Agostino,48,5MJTJqEYDDTXhA0qriUnB8,The Riddle,2014-05-30,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.744,0.868,6,-6.844,0,0.0367,0.0242,0.00211,0.0753,0.851,126.99,287307
5dle7lDSqNS2AcFtbvgkud,Rhythm Is A Dancer - 12'' Version,SNAP!,12,5NZ0wQA1HzBSDSyOWEU96k,Rhythm Is A Dancer Volume 08,1991,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.768,0.874,9,-7.303,0,0.034,0.117,0.0628,0.0842,0.839,124.251,316133
0MhkdVUCf8ZttUXzZ3J9J6,Another Night,Real McCoy,2,3lH40SlojmDYl4muKywyoa,Ultimate Club Dance 90s - Vol. 2,2000-01-01,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.812,0.889,7,-7.769,1,0.0394,0.11,0.00323,0.065,0.872,125.943,236871
3DdCb7EyPUcUD0LKWkJ0L7,Roses Are Red - Original Version,Aqua,2,58F319Pyj5Pb2jCB5oBLoT,Greatest Hits,2009-01-01,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.612,0.974,0,-3.527,0,0.0407,0.0133,0.0107,0.618,0.817,139.934,222747
44o1MQVbm8S827avRs4RHc,Feel the heat of the night - Radio Edit,Masterboy,50,73rwjoMZxrGQdbe5rPK7EY,Feel the heat of the night,2006-01-23,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.625,0.917,9,-6.893,0,0.0396,0.0136,0.00338,0.324,0.9,137.968,221840
5npMYgysWSKOIVXj2szeLn,Vogue - Edit,Madonna,51,38nngL1nidjNYdHvJ3xJED,I'm Breathless,1990-03-22,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.69,0.817,10,-10.137,0,0.0478,0.0109,0.00276,0.103,0.285,116.211,289560
3v1W3lS40jrAyGerzF3igy,Up & Down,Vengaboys,61,5t02mTYT9ks9sOC1ihea4a,Greatest Hits!,2000,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.79,0.929,6,-9.123,1,0.0671,4.05e-4,0.648,0.0693,0.894,135.951,241040
4YkMADiCB98XqOGQb0P1aT,Light the Way- Single (feat. Nozomi),Brandon Seibert,29,6CBWSNoJSRIK9TB9kdnD5G,Light the Way,2018-01-05,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,pop,dance pop,0.454,0.703,1,-5.76,0,0.0385,0.00211,0.0317,0.111,0.676,100.037,210967
64WGFpBr68nqhKHahymiyZ,Heaven Is Here,Influencers Worship,29,65GpDYQeSO7qD5L58c1xnt,On Earth / In Heaven,2018-11-09,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,pop,dance pop,0.591,0.792,2,-6.823,1,0.0369,6.9e-4,0.00967,0.0687,0.234,117.99,255277
7HxbtxmdOIM0mttc9sBLzI,Feelings,FUNKYBEAT,33,4MHmCdONzfCJlmq82uWx5J,Feelings,2019-11-22,Pop Dance Hits,7eERKCkgNKCCx5GYdeMIZf,pop,dance pop,0.727,0.664,3,-4.68,0,0.0741,0.0257,1.64e-5,0.121,0.198,117.107,187115
48fLPV7iCWxVoOqHdMrmc7,Ego,Rich Edwards,28,26TVpQLJSXSlH0gPQnTm8N,Ego,2018-04-13,Pop Dance Hits,7eERKCkgNKCCx5GYdeMIZf,pop,dance pop,0.6,0.634,9,-5.946,0,0.0286,0.336,0,0.109,0.214,105.023,193714
4D9QMZ3n8OupOPdxU0MMBS,Make A Move,EMMA WAHLIN,45,2wyItp4YIkkGJa3NqL0hoh,Make A Move,2019-02-06,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.822,0.591,9,-6.615,0,0.0515,0.0133,0.147,0.114,0.384,124.015,189147
3Lhrv49JFkwVF1Sl9L1rfp,TURN,TaeyoungBoy,0,11Z4ix9Ea2DeoQEgNZzD8r,HOWL OF YOUNGTIMZ,2019-02-27,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.704,0.482,5,-10.661,0,0.0475,0.0302,9.13e-5,0.173,0.284,109.988,169796
6DkOqFoA3gk9c5N8VLokPF,Free! Free! Free!,竹内アンナ,37,4WqK39QuWgo8RT3zVKWvU8,at TWO,2019-01-23,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.721,0.861,4,-4.87,0,0.0847,0.151,0,0.118,0.64,132.065,231933
66q3yNMEO2tOsiFny1IPQW,Old Friends,Pinegrove,60,2SmrUzUMMOYQqoPuOhlhjw,Cardinal,2016-02-12,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.488,0.555,4,-7.315,1,0.0398,0.41,0,0.494,0.375,147.88,207720
6UFivO2zqqPFPoQYsEMuCc,Bags,Clairo,70,4kkVGtCqE2NiAKosri9Rnd,Immunity,2019-08-02,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.742,0.546,1,-7.694,1,0.0315,0.172,0.38,0.115,0.868,104.996,260520
6WVheb5G29cbDOzF4qMfli,Road Head,Japanese Breakfast,60,6AOaqWipm2Zk0oBp0uUey2,Soft Sounds from Another Planet,2017-07-14,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.54,0.674,4,-8.734,1,0.0296,0.0978,0.156,0.147,0.165,95.036,195107
6CTG85NJI1Wm60pxTSRNwL,Never Catch Me,Flying Lotus,60,29luvT98TnqHjVDYSRbbrj,You're Dead!,2014-10-06,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.526,0.936,8,-4.576,1,0.263,0.316,3.84e-4,0.261,0.283,81.305,234487
6bTn1ovliI0OkjUNkiMBJq,Nobody,Mitski,67,653wRjqO0GOZPQPcXpeAXD,Be the Cowboy,2018-08-17,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.398,0.716,0,-5.254,1,0.0392,0.0764,0,0.0848,0.494,117.295,193429
3yT9qgwUHuH2tIAblw8O1d,Alone Tonight,Maxwell Luke,36,7F2FMs20aPQhp4JIUUrmIl,Alone Tonight,2019-12-20,TUNES DANCE AND POP,3arpkhoRWXEYbdCpVAIrRR,pop,dance pop,0.621,0.606,6,-8.412,1,0.0452,0.107,0,0.116,0.242,106.905,188788
7MxPKKqDRIJja7kMMfksFx,Special,Kevlah,38,25ByrHUQiHR9v5Bt2Dbcpi,Special,2019-11-06,TUNES DANCE AND POP,3arpkhoRWXEYbdCpVAIrRR,pop,dance pop,0.595,0.502,10,-13.756,1,0.131,0.347,0,0.121,0.288,154.926,191000
329ZotUK1Kbj9Fj8aASXud,Maillot de bain,Modhayan,38,2Bdc3UEc5SCMjKpnXLfBX5,Biarritz,2019-08-25,TUNES DANCE AND POP,3arpkhoRWXEYbdCpVAIrRR,pop,dance pop,0.687,0.449,7,-15.161,1,0.0852,0.675,0.909,0.0643,0.91,92.03,215410
27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,Sia,77,77jAfTh3KH9K2reMOmTgOh,This Is Acting,2016-01-29,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,211667
3up1JsYa4JNZBakiWP41s0,A Long Time,Shannon K,34,5oTkTecnrF5Aa5CbnDTIVP,A Long Time,2018-03-15,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop,0.662,0.697,5,-4.461,1,0.0712,0.0722,0,0.291,0.549,119.25,164684
4VrWlk8IQxevMvERoX08iC,Chandelier,Sia,79,3xFSl9lIRaYXIYkIn3OIl9,1000 Forms Of Fear,2014-07-04,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-5,0.0685,0.572,117.089,216120
1rIKgCH4H52lrvDcz50hS8,Lush Life,Zara Larsson,76,5YLRVHDVRw3QqWbeTGpC5B,So Good,2017-03-17,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop,0.694,0.712,7,-3.923,0,0.046,0.133,0,0.211,0.799,98.022,201122
4IIUaKqGMElZ3rGtuvYlNc,Wild Thoughts,DJ Khaled,15,6XMTRp9sURjgP9g23ppEri,Wild Thoughts,2017-06-16,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop,0.613,0.681,8,-3.089,1,0.0778,0.0287,0,0.126,0.619,97.621,204664
6xEDixvjEi2ou3by2cmkvz,Lost,Chris Linton,44,5qDu2eNvrXDsN3UXNdLVUs,Lost,2019-12-13,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop,0.58,0.438,9,-7.696,0,0.028,0.738,1.04e-6,0.189,0.225,93.003,196129
0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,Kesha,80,6fpLLJsDSSAlToEDW2jv4F,Animal (Expanded Edition),2010-01-01,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop,0.755,0.837,2,-2.718,0,0.142,0.0991,0,0.289,0.714,120.028,199693
2habSXqcJGExM6JJyskY7O,Malibu,Miley Cyrus,21,7CUczABBlsbd5fqng9mjxo,Malibu,2017-05-11,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop,0.565,0.782,8,-6.413,1,0.0506,0.0577,4.16e-5,0.0757,0.4,140.004,231906
6cPqEHMMAbcZHhH3yRBK7O,God Is A Dancer,Tiësto,45,73ij4SArK1BxoVW6RMTNAT,God Is A Dancer (Acoustic),2019-10-25,ELETRIC POP & DANCE,7316uT3vVzTidCI8cinBUv,pop,dance pop,0.774,0.747,1,-3.908,0,0.082,0.0241,6.11e-6,0.342,0.833,119.964,168125
21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,98,4g1ZRSobMefqF6nelkgibi,Hollywood's Bleeding,2019-09-06,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280
1lOe9qE0vR9zwWQAOk6CoO,Ransom,Lil Tecca,90,1I6FpscJIfwf4T56VxGVsB,We Love You Tecca,2019-08-30,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.745,0.642,7,-6.257,0,0.287,0.0204,0,0.0658,0.226,179.974,131240
0fea68AdmYNygeTGI4RC18,LA CANCIÓN,J Balvin,91,6ylFfzx32ICw4L1A7YWNLN,OASIS,2019-06-28,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-5,0.108,0.429,176.089,242573
6osaMSJh9NguagEDQcZaKx,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,88,2MFS6WG6jnPAgvJpV3PehR,Carte Blanche,2019-07-25,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.694,0.758,11,-2.986,1,0.218,0.278,1.34e-6,0.102,0.371,192.091,185195
46D0hYb1B7qiU33VtXt21W,Easy,Camila Cabello,78,514p9UpvibpBhShFgpZaxS,Easy,2019-10-11,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.574,0.593,4,-5.731,0,0.0463,0.411,1.55e-6,0.0966,0.355,128.073,194686
5nCthAh3jt4xKuLJAifAaR,Harleys In Hawaii,Katy Perry,78,30UjBkRwwBeCdspCGPBB8V,Harleys In Hawaii,2019-10-16,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.722,0.757,10,-6.207,0,0.132,0.185,6.32e-6,0.126,0.721,140.094,185815
4Tvw0lweq9l2JPQKFbpbBQ,Better When You're Gone,David Guetta,76,4ZoXNDicq0MrsGk1pM883o,Better When You're Gone,2019-02-08,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.647,0.795,1,-3.548,0,0.0372,0.0635,0,0.188,0.409,127.992,192402
2TZ1apxMDlubCGMsOxcTbT,Come Clean,Hilary Duff,55,2zfZe8P8jg53kZaAfCdBYs,Metamorphosis,2003-01-01,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.577,0.892,8,-5.121,0,0.0675,0.016,6.39e-5,0.299,0.454,118.096,214560
1rKBOL9kJfX1Y4C3QaOvRH,Boyfriend,Big Time Rush,62,2RjFzASjHZG1lUbCKqUahx,BTR,2010-10-11,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.614,0.857,1,-4.171,0,0.111,0.0987,0,0.177,0.677,164.146,201040
